register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
ALL		、	補助記号-読点		記号						5381050	43360.26
ALL	ノ	の	助詞-格助詞		和						5061527	40785.558
ALL		。	補助記号-句点		記号						4018225	32378.677
ALL	ニ	に	助詞-格助詞		和						3576555	28819.72
ALL	テ	て	助詞-接続助詞		和						3493117	28147.381
ALL	ハ	は	助詞-係助詞		和						3289879	26509.698
ALL	ダ	だ	助動詞		和						3156876	25437.966
ALL	ヲ	を	助詞-格助詞		和						3085666	24864.159
ALL	タ	た	助動詞		和						2876443	23178.249
ALL	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	2542889	20490.486
ALL		　	空白		記号						2523335	20332.921
ALL	ガ	が	助詞-格助詞		和						2385407	19221.503
ALL	ト	と	助詞-格助詞		和						2264101	18244.025
ALL	デ	で	助詞-格助詞		和						1328255	10703.02
ALL	モ	も	助詞-係助詞		和						1263754	10183.274
ALL	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	1120803	9031.381
ALL	マス	ます	助動詞		和						1112973	8968.287
ALL	ノ	の	助詞-準体助詞		和						1112279	8962.695
ALL	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	956621	7708.41
ALL		「	補助記号-括弧開		記号						899825	7250.75
ALL		」	補助記号-括弧閉		記号						899275	7246.318
ALL	デス	です	助動詞		和						804166	6479.934
ALL	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	764447	6159.88
ALL		・	補助記号-一般		記号						744975	6002.976
ALL	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	740729	5968.762
ALL		）	補助記号-括弧閉		記号						639812	5155.577
ALL	ナイ	ない	助動詞		和						637048	5133.305
ALL		（	補助記号-括弧開		記号						635151	5118.019
ALL	レル	れる	助動詞		和						606144	4884.282
ALL		，	補助記号-読点		記号						592728	4776.176
ALL	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	458365	3693.485
ALL	カラ	から	助詞-格助詞		和						455330	3669.029
ALL	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	441422	3556.959
ALL	ガ	が	助詞-接続助詞		和						414962	3343.746
ALL	カ	か	助詞-終助詞		和						403371	3250.346
ALL	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	393664	3172.127
ALL	カ	か	助詞-副助詞		和						349272	2814.419
ALL	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	334598	2696.176
ALL		？	補助記号-句点		記号						316440	2549.86
ALL	ジュウ	十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	302131	2434.559
ALL	ズ	ず	助動詞		和						288845	2327.501
ALL	コノ	此の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	284637	2293.593
ALL	テキ	的	接尾辞-形状詞的		漢	3.1130	相	関係	類	異同・類似	275428	2219.387
ALL	ヨウ	様	形状詞-助動詞語幹		漢	3.1300					270323	2178.251
ALL	サン	三	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	268454	2163.191
ALL	ソレ	其れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	268443	2163.102
ALL	ナル	成る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	260823	2101.701
ALL	オ	御	接頭辞		和	4.3320	他		挨拶	手紙用語など	255758	2060.887
ALL	ト	と	助詞-接続助詞		和						255718	2060.565
ALL	ヤ	や	助詞-副助詞		和						249223	2008.228
ALL	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	247716	1996.085
ALL	クル	来る	動詞-非自立可能		和	2.1527	用	関係	作用	往復	237291	1912.081
ALL	バ	ば	助詞-接続助詞		和						231223	1863.185
ALL	オモウ	思う	動詞-一般		和	2.3061	用	活動	心	思考・意見・疑い	229060	1845.756
ALL		！	補助記号-句点		記号						222249	1790.873
ALL	ネン	年	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	221507	1784.894
ALL	ゴ	五	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	218397	1759.834
ALL	コレ	此れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	199446	1607.127
ALL	ヨイ	良い	形容詞-非自立可能		和	3.1332	相	関係	様相	良不良・適不適	197295	1589.795
ALL	シャ	者	接尾辞-名詞的-一般		漢	1.2000	体	主体	人間	人間	195169	1572.664
ALL	ヨン	四	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	189210	1524.646
ALL	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	188689	1520.448
ALL	カラ	から	助詞-接続助詞		和						186682	1504.276
