register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
LB		、	補助記号-読点		記号						1862968	52136.62
LB	ノ	の	助詞-格助詞		和						1551173	43410.793
LB		。	補助記号-句点		記号						1258202	35211.769
LB	ニ	に	助詞-格助詞		和						1107871	31004.639
LB	テ	て	助詞-接続助詞		和						1081488	30266.29
LB	ハ	は	助詞-係助詞		和						1068299	29897.185
LB	ダ	だ	助動詞		和						1037775	29042.947
LB	タ	た	助動詞		和						1034576	28953.421
LB	ヲ	を	助詞-格助詞		和						978482	27383.586
LB	ガ	が	助詞-格助詞		和						734373	20552.004
LB	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	714725	20002.14
LB		　	空白		記号						702035	19647.0
LB	ト	と	助詞-格助詞		和						695778	19471.893
LB	モ	も	助詞-係助詞		和						387174	10835.368
LB	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	371788	10404.779
LB	デ	で	助詞-格助詞		和						370772	10376.345
LB	ノ	の	助詞-準体助詞		和						333921	9345.041
LB		「	補助記号-括弧開		記号						331648	9281.43
LB		」	補助記号-括弧閉		記号						331513	9277.652
LB	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	316260	8850.784
LB	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	243492	6814.315
LB	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	232428	6504.68
LB	ナイ	ない	助動詞		和						205208	5742.907
LB	レル	れる	助動詞		和						187159	5237.792
LB	マス	ます	助動詞		和						176641	4943.437
LB	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	154574	4325.875
LB	デス	です	助動詞		和						144600	4046.745
LB	カラ	から	助詞-格助詞		和						138157	3866.432
LB	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	134546	3765.376
LB	ガ	が	助詞-接続助詞		和						111566	3122.262
LB		）	補助記号-括弧閉		記号						110953	3105.107
LB		（	補助記号-括弧開		記号						110000	3078.437
LB	カ	か	助詞-副助詞		和						102931	2880.605
LB	ソレ	其れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	101366	2836.807
LB		・	補助記号-一般		記号						96844	2710.256
LB	コノ	此の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	96128	2690.218
LB	カ	か	助詞-終助詞		和						90631	2536.38
LB	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	86462	2419.707
LB	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	85197	2384.305
LB	テキ	的	接尾辞-形状詞的		漢	3.1130	相	関係	類	異同・類似	83977	2350.163
LB	クル	来る	動詞-非自立可能		和	2.1527	用	関係	作用	往復	81644	2284.872
LB	ズ	ず	助動詞		和						80683	2257.977
LB	ト	と	助詞-接続助詞		和						79773	2232.51
LB	ヨウ	様	形状詞-助動詞語幹		漢	3.1300					79207	2216.67
LB		，	補助記号-読点		記号						75415	2110.548
LB	ヤ	や	助詞-副助詞		和						72859	2039.017
LB	バ	ば	助詞-接続助詞		和						71134	1990.741
LB	ナル	成る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	69561	1946.72
LB	ネン	年	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	63060	1764.784
LB	カラ	から	助詞-接続助詞		和						62369	1745.446
LB	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	61063	1708.896
LB	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	58702	1642.822
LB	ラレル	られる	助動詞		和						58700	1642.766
LB	オ	御	接頭辞		和	4.3320	他		挨拶	手紙用語など	57730	1615.62
LB	コレ	此れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	57082	1597.485
