register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OC		。	補助記号-句点		記号						495218	41204.259
OC		、	補助記号-読点		記号						413764	34426.938
OC	テ	て	助詞-接続助詞		和						367079	30542.546
OC	ノ	の	助詞-格助詞		和						359784	29935.57
OC	ハ	は	助詞-係助詞		和						308974	25707.961
OC	ダ	だ	助動詞		和						302427	25163.222
OC	デス	です	助動詞		和						300334	24989.076
OC	マス	ます	助動詞		和						299795	24944.229
OC	ニ	に	助詞-格助詞		和						286608	23847.014
OC	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	255009	21217.842
OC	ガ	が	助詞-格助詞		和						254555	21180.067
OC	タ	た	助動詞		和						229829	19122.758
OC	ヲ	を	助詞-格助詞		和						220758	18368.012
OC	ト	と	助詞-格助詞		和						217301	18080.375
OC	ノ	の	助詞-準体助詞		和						212593	17688.649
OC		・	補助記号-一般		記号						179739	14955.055
OC	デ	で	助詞-格助詞		和						170960	14224.605
OC	モ	も	助詞-係助詞		和						161371	13426.759
OC		？	補助記号-句点		記号						154507	12855.645
OC	カ	か	助詞-終助詞		和						134414	11183.821
OC	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	120775	10048.998
OC	ガ	が	助詞-接続助詞		和						93508	7780.267
OC	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	91048	7575.584
OC	ナイ	ない	助動詞		和						79222	6591.61
OC	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	71390	5939.954
OC		　	空白		記号						70233	5843.687
OC	カ	か	助詞-副助詞		和						65489	5448.966
OC	ズ	ず	助動詞		和						63618	5293.291
OC	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	63516	5284.804
OC	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	60644	5045.841
