register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OL	ノ	の		助詞-格助詞	和						70413	58381.845
OL	ニ	に		助詞-格助詞	和						59661	49466.991
OL		、		補助記号-読点	記号						45763	37943.681
OL	ダイ	第		接頭辞	漢	3.1101	相	関係	類	等級・系列	41316	34256.52
OL	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	37493	31086.739
OL	ヲ	を		助詞-格助詞	和						34507	28610.943
OL	ハ	は		助詞-係助詞	和						30822	25555.583
OL		。		補助記号-句点	記号						23026	19091.651
OL	テ	て		助詞-接続助詞	和						20984	17398.558
OL	ジョウ	条		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	20369	16888.64
OL		　		空白	記号						20191	16741.054
OL	ト	と		助詞-格助詞	和						15143	12555.584
OL	ガ	が		助詞-格助詞	和						14877	12335.034
OL		（		補助記号-括弧開	記号						12921	10713.247
OL		）		補助記号-括弧閉	記号						12906	10700.81
OL	コウ	項		名詞-普通名詞-一般	漢	1.1000	体	関係	事柄	事柄	12094	10027.553
OL	キテイ	規定		名詞-普通名詞-サ変可能	漢	1.3080	体	活動	心	原理・規則	12022	9967.855
OL	タ	た		助動詞	和						11981	9933.86
OL	イチ	一		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	11580	9601.378
OL	ナイ	ない		助動詞	和						10314	8551.693
OL	ソノ	其の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	10078	8356.018
OL	ヨル	因る		動詞-一般	和	2.1112	用	関係	類	因果	9902	8210.09
OL	マタ	又		接続詞	和	4.1110	他		接続	累加	9180	7611.455
OL	シャ	者		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	8761	7264.047
OL	ニ	二		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	8740	7246.636
OL	ダ	だ		助動詞	和						8164	6769.054
OL	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	7743	6419.989
OL	オク	於く		動詞-一般	和	2.1513	用	関係	作用	固定・傾き・転倒など	7248	6009.567
OL	トウガイ	当該		名詞-普通名詞-一般	漢	x.xxxx					7049	5844.569
OL	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	7021	5821.354
OL	オヨビ	及び		接続詞	和	4.1110	他		接続	累加	6809	5645.577
OL	サン	三		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	6386	5294.853
OL	トウ	等		接尾辞-名詞的-一般	漢	1.1951	体	関係	量	群・組・対	6339	5255.884
