register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OM		、		補助記号-読点	記号						323881	57870.792
OM	テ	て		助詞-接続助詞	和						229147	40943.798
OM	ノ	の		助詞-格助詞	和						210741	37655.029
OM	ダ	だ		助動詞	和						202000	36093.195
OM	マス	ます		助動詞	和						180127	32184.945
OM	ト	と		助詞-格助詞	和						168937	30185.525
OM	ニ	に		助詞-格助詞	和						162443	29025.182
OM	ハ	は		助詞-係助詞	和						144790	25870.959
OM	ヲ	を		助詞-格助詞	和						133193	23798.816
OM	イウ	言う		動詞-一般	和	2.3100	用	活動	言語	言語活動	122438	21877.122
OM		。		補助記号-句点	記号						116686	20849.359
OM	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	116222	20766.452
OM	ガ	が		助詞-格助詞	和						97890	17490.905
OM	タ	た		助動詞	和						71488	12773.418
OM	モ	も		助詞-係助詞	和						71088	12701.946
OM	ノ	の		助詞-準体助詞	和						62313	11134.036
OM	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	58911	10526.17
OM	デ	で		助詞-格助詞	和						58699	10488.29
OM	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	52662	9409.603
OM	ゴザル	御座る		動詞-非自立可能	混	2.1200	用	関係	存在	存在	41452	7406.61
OM	デス	です		助動詞	和						40930	7313.339
OM	オル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	36943	6600.945
OM	カ	か		助詞-終助詞	和						33584	6000.762
OM	イル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	33301	5950.196
OM	ヨウ	様		形状詞-助動詞語幹	漢	3.1300					29000	5181.697
OM	コレ	此れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	27899	4984.971
OM	ナイ	ない		助動詞	和						27395	4894.917
OM	オモウ	思う		動詞-一般	和	2.3061	用	活動	心	思考・意見・疑い	27304	4878.657
OM	レル	れる		助動詞	和						27221	4863.826
OM	ソノ	其の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	26061	4656.559
OM	カラ	から		助詞-格助詞	和						25671	4586.874
OM	ガ	が		助詞-接続助詞	和						25225	4507.183
OM	コノ	此の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	22937	4098.365
OM		○		補助記号-一般	記号						22788	4071.742
OM	ソレ	其れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	22039	3937.911
OM	ナイ	無い		形容詞-非自立可能	和	3.1200	相	関係	存在	存在	21741	3884.665
OM	ソウ	そう		副詞	和	3.1010	相	関係	真偽	こそあど・他	21444	3831.597
