register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OT	ノ	の		助詞-格助詞	和						59668	53269.578
OT		，		補助記号-読点	記号						47076	42027.866
OT		。		補助記号-句点	記号						40212	35899.918
OT	ヲ	を		助詞-格助詞	和						36339	32442.234
OT	ニ	に		助詞-格助詞	和						31818	28406.038
OT	テ	て		助詞-接続助詞	和						28212	25186.723
OT		　		空白	記号						26268	23451.185
OT	ハ	は		助詞-係助詞	和						25462	22731.615
OT	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	25419	22693.226
OT	ダ	だ		助動詞	和						21862	19517.657
OT	ガ	が		助詞-格助詞	和						21014	18760.591
OT	タ	た		助動詞	和						19062	17017.911
OT	ト	と		助詞-格助詞	和						17887	15968.911
OT	デ	で		助詞-格助詞	和						11351	10133.79
OT		、		補助記号-読点	記号						9850	8793.748
OT		）		補助記号-括弧閉	記号						9510	8490.208
OT		（		補助記号-括弧開	記号						9314	8315.226
OT	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	7977	7121.597
OT	イル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	7896	7049.283
OT	レル	れる		助動詞	和						6192	5528.009
OT	マス	ます		助動詞	和						6101	5446.768
OT	ヤ	や		助詞-副助詞	和						6021	5375.346
OT	モ	も		助詞-係助詞	和						6001	5357.491
OT	イチ	一		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	5743	5127.157
OT	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	5588	4988.778
OT		・		補助記号-一般	記号						5145	4593.283
OT	ニ	二		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	4744	4235.284
OT	カラ	から		助詞-格助詞	和						4370	3901.389
OT		「		補助記号-括弧開	記号						4331	3866.571
OT		」		補助記号-括弧閉	記号						4319	3855.858
OT	ヨウ	様		形状詞-助動詞語幹	漢	3.1300					4144	3699.624
OT	ノ	の		助詞-準体助詞	和						3904	3485.36
OT	ナド	など		助詞-副助詞	和						3744	3342.517
OT	イウ	言う		動詞-一般	和	2.3100	用	活動	言語	言語活動	3386	3022.907
OT	ジュウ	十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	3331	2973.805
OT	サン	三		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	3147	2809.536
OT	カ	か		助詞-終助詞	和						3027	2702.404
OT	ズ	図		名詞-普通名詞-一般	漢	1.3115	体	活動	言語	表・図・譜・式	2839	2534.564
OT	ソノ	其の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	2837	2532.778
OT	コノ	此の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	2775	2477.427
OT	ナル	成る		動詞-非自立可能	和	2.1220	用	関係	存在	成立	2727	2434.574
OT	ナイ	ない		助動詞	和						2694	2405.113
OT	イチ	一		名詞-数詞	漢	1.1961	体	関係	量	順位記号（甲乙丙）	2637	2354.225
OT	ニ	二		名詞-数詞	漢	1.1961	体	関係	量	順位記号（甲乙丙）	2615	2334.584
OT	ヨル	因る		動詞-一般	和	2.1112	用	関係	類	因果	2585	2307.801
OT	ト	と		助詞-接続助詞	和						2519	2248.879
OT	ゴ	五		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	2496	2228.345
OT	テキ	的		接尾辞-形状詞的	漢	3.1130	相	関係	類	異同・類似	2395	2138.176
OT	ラレル	られる		助動詞	和						2284	2039.079
OT	ナル	成る		動詞-非自立可能	和	2.1500	用	関係	作用	作用・変化	2275	2031.044
OT	ヨン	四		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	2269	2025.687
OT	セン	千		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	2262	2019.438
OT	サ	さ		接尾辞-名詞的-一般	和	1.1920	体	関係	量	程度・限度	2210	1973.014
OT	ネン	年		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	2114	1887.308
OT	デス	です		助動詞	和						1957	1747.144
OT	ミル	見る		動詞-非自立可能	和	2.3065	用	活動	心	研究・試験・調査・検査など	1955	1745.359
OT	デキル	出来る		動詞-非自立可能	和	2.1220	用	関係	存在	成立	1935	1727.503
OT	エー	Ａ		記号-文字	記号						1816	1621.264
OT	ロク	六		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1769	1579.304
OT	カ	か		助詞-副助詞	和						1764	1574.84
