register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OV	ノ	の		助詞-格助詞	和						18129	77663.873
OV	ニ	に		助詞-格助詞	和						8925	38234.324
OV	テ	て		助詞-接続助詞	和						7724	33089.291
OV	ヲ	を		助詞-格助詞	和						7234	30990.152
OV	ハ	は		助詞-係助詞	和						5341	22880.619
OV	ト	と		助詞-格助詞	和						3660	15679.286
OV	ダ	だ		助動詞	和						3643	15606.459
OV	タ	た		助動詞	和						3064	13126.047
OV	ガ	が		助詞-格助詞	和						3043	13036.084
OV		　		空白	記号						2886	12363.503
OV	モ	も		助詞-係助詞	和						2702	11575.255
OV	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	2393	10251.512
OV	イル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	1878	8045.273
OV		、		補助記号-読点	記号						1834	7856.779
OV	キ	き		助動詞	和						1512	6477.345
OV		。		補助記号-句点	記号						1362	5834.751
OV	ズ	ず		助動詞	和						1306	5594.849
OV	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	1294	5543.442
OV	ナリ	なり	断定	助動詞	和						1285	5504.886
OV				カタカナ文							1223	5239.281
OV	ヤ	や		助詞-係助詞	和						1164	4986.527
OV	デ	で		助詞-格助詞	和						1099	4708.07
OV	ナイ	無い		形容詞-非自立可能	和	3.1200	相	関係	存在	存在	1072	4592.403
OV	リ	り		助動詞	和						1023	4382.489
OV	ノ	の		助詞-準体助詞	和						976	4181.143
OV	レル	れる		助動詞	和						848	3632.797
OV	ナイ	ない		助動詞	和						811	3474.29
OV	バ	ば		助詞-接続助詞	和						785	3362.907
OV	クル	来る		動詞-非自立可能	和	2.1527	用	関係	作用	往復	718	3075.882
OV	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	707	3028.759
OV	ソノ	其の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	675	2891.672
OV	イク	行く		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	636	2724.598
OV	ナカ	中		名詞-普通名詞-副詞可能	和	1.1770	体	関係	空間	内外	613	2626.067
OV	ヘ	へ		助詞-格助詞	和						579	2480.412
OV	タリ	たり	完了	助動詞	和						568	2433.289
OV	カラ	から		助詞-格助詞	和						567	2429.005
OV	ワレ	我		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	555	2377.597
OV	ボク	僕		代名詞	漢	1.2010	体	主体	人間	われ・なれ・かれ	547	2343.325
OV	イウ	言う		動詞-一般	和	2.3100	用	活動	言語	言語活動	545	2334.758
OV	ム	む		助動詞	和						520	2227.659
OV	ヨ	よ		助詞-終助詞	和						503	2154.831
OV	ミル	見る		動詞-非自立可能	和	2.3091	用	活動	心	見る	502	2150.547
OV	ヒ	日		名詞-普通名詞-副詞可能	和	1.1633	体	関係	時間	日	495	2120.56
OV	ヨル	夜		名詞-普通名詞-副詞可能	和	1.1635	体	関係	時間	朝晩	484	2073.436
OV	ナル	成る		動詞-非自立可能	和	2.1500	用	関係	作用	作用・変化	464	1987.757
OV	ヨリ	より		助詞-格助詞	和						456	1953.485
OV	ヨウ	様		形状詞-助動詞語幹	漢	3.1130	相	関係	類	異同・類似	456	1953.485
OV	ヒト	人		名詞-普通名詞-一般	和	1.2000	体	主体	人間	人間	451	1932.065
