register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OW	ノ	の		助詞-格助詞	和						300180	53220.121
OW		，		補助記号-読点	記号						199940	35448.168
OW	ニ	に		助詞-格助詞	和						188213	33369.041
OW	テ	て		助詞-接続助詞	和						137803	24431.649
OW	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	137412	24362.327
OW	ヲ	を		助詞-格助詞	和						135816	24079.366
OW		、		補助記号-読点	記号						104799	18580.237
OW	ハ	は		助詞-係助詞	和						104568	18539.282
OW		。		補助記号-句点	記号						97169	17227.484
OW		　		空白	記号						90793	16097.057
OW	ト	と		助詞-格助詞	和						83546	14812.207
OW	ガ	が		助詞-格助詞	和						81039	14367.731
OW	ダ	だ		助動詞	和						79302	14059.771
OW		）		補助記号-括弧閉	記号						66313	11756.899
OW		（		補助記号-括弧開	記号						64846	11496.809
OW	タ	た		助動詞	和						64188	11380.149
OW	イル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	49571	8788.643
OW	トウ	等		接尾辞-名詞的-一般	漢	1.1951	体	関係	量	群・組・対	42624	7556.981
OW	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	37396	6630.088
OW	デ	で		助詞-格助詞	和						36724	6510.946
OW	イチ	一		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	35773	6342.34
OW	ニ	二		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	34087	6043.422
OW	ネン	年		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	30338	5378.747
OW	パーセント	パーセント	percent	名詞-普通名詞-助数詞可能	外	1.1962	体	関係	量	助数接辞	29274	5190.106
OW	テン	．		名詞-普通名詞-一般	記号						29117	5162.271
OW	ジュウ	十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	28668	5082.666
OW		‐		補助記号-一般	記号						28563	5064.05
OW	レル	れる		助動詞	和						27415	4860.516
OW	サン	三		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	27077	4800.591
OW	テキ	的		接尾辞-形状詞的	漢	3.1130	相	関係	類	異同・類似	24647	4369.766
OW	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	23889	4235.377
OW		・		補助記号-一般	記号						23682	4198.678
OW	シャ	者		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	23593	4182.898
OW	オク	於く		動詞-一般	和	2.1513	用	関係	作用	固定・傾き・転倒など	23402	4149.035
OW	ゴ	五		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	23278	4127.051
OW	ヨル	因る		動詞-一般	和	2.1112	用	関係	類	因果	23079	4091.769
OW		「		補助記号-括弧開	記号						22803	4042.836
OW		」		補助記号-括弧閉	記号						22777	4038.227
