register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OY		　	空白		記号						633126	48759.631
OY		、	補助記号-読点		記号						445534	34312.401
OY		。	補助記号-句点		記号						418026	32193.897
OY	ノ	の	助詞-格助詞		和						407792	31405.735
OY	テ	て	助詞-接続助詞		和						314983	24258.133
OY	タ	た	助動詞		和						311624	23999.443
OY	ニ	に	助詞-格助詞		和						292762	22546.803
OY	ダ	だ	助動詞		和						289875	22324.463
OY	ハ	は	助詞-係助詞		和						285863	22015.483
OY		・	補助記号-一般		記号						241438	18594.131
OY	ガ	が	助詞-格助詞		和						222275	17118.31
OY	ヲ	を	助詞-格助詞		和						213930	16475.627
OY	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	195528	15058.414
OY	ト	と	助詞-格助詞		和						189049	14559.439
OY	マス	ます	助動詞		和						157376	12120.172
OY	モ	も	助詞-係助詞		和						155050	11941.037
OY	デ	で	助詞-格助詞		和						153114	11791.938
OY	デス	です	助動詞		和						135013	10397.905
OY	ノ	の	助詞-準体助詞		和						134578	10364.404
OY		！	補助記号-句点		記号						107605	8287.103
OY	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	91984	7084.066
OY		（	補助記号-括弧開		記号						86422	6655.713
OY		）	補助記号-括弧閉		記号						83989	6468.338
OY		「	補助記号-括弧開		記号						73865	5688.647
OY		」	補助記号-括弧閉		記号						73717	5677.249
OY	ナイ	ない	助動詞		和						63067	4857.049
OY	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	60374	4649.65
OY		〜	補助記号-一般		記号						59427	4576.718
OY		？	補助記号-句点		記号						54283	4180.557
OY	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	53025	4083.673
OY	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	52735	4061.339
OY	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	50671	3902.382
OY	オ	御	接頭辞		和	4.3320	他		挨拶	手紙用語など	49203	3789.325
OY	ガ	が	助詞-接続助詞		和						47121	3628.982
OY	ネ	ね	助詞-終助詞		和						46383	3572.146
OY	カラ	から	助詞-格助詞		和						45676	3517.697
OY	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	43905	3381.305
OY	テル	てる	助動詞		和						43519	3351.577
OY	カ	か	助詞-終助詞		和						43294	3334.249
OY	カ	か	助詞-副助詞		和						42364	3262.626
OY	レル	れる	助動詞		和						42027	3236.672
OY			未知語								39567	3047.217
OY	ジュウ	十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	38581	2971.282
OY	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	37573	2893.651
OY	クル	来る	動詞-非自立可能		和	2.1527	用	関係	作用	往復	31982	2463.065
OY	ズ	ず	助動詞		和						31427	2420.323
OY	サン	さん	接尾辞-名詞的-一般		和	1.2000	体	主体	人間	人間	30667	2361.792
OY	ヨ	よ	助詞-終助詞		和						30026	2312.426
OY	サン	三	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	29783	2293.711
OY	ヨイ	良い	形容詞-非自立可能		和	3.1332	相	関係	様相	良不良・適不適	29199	2248.735
OY	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	29065	2238.415
OY	オモウ	思う	動詞-一般		和	2.3061	用	活動	心	思考・意見・疑い	28959	2230.252
OY		：	補助記号-一般		記号						28158	2168.564
OY	ナ	な	助詞-終助詞		和						27598	2125.436
OY		…	補助記号-一般		記号						26813	2064.98
OY	コノ	此の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	25703	1979.494
OY	ゴ	五	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	24591	1893.854
OY	ケレド	けれど	助詞-接続助詞		和						24457	1883.534
OY	ナニ	何	代名詞		和	1.1010	体	関係	事柄	こそあど・他	23937	1843.487
OY	ト	と	助詞-接続助詞		和						23605	1817.918
OY	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	22864	1760.851
OY	ミル	見る	動詞-非自立可能		和	2.3091	用	活動	心	見る	22615	1741.674
