register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
PB		、	補助記号-読点		記号						1473792	43889.605
PB	ノ	の	助詞-格助詞		和						1473484	43880.433
PB		。	補助記号-句点		記号						1069047	31836.278
PB	ニ	に	助詞-格助詞		和						1036652	30871.553
PB	テ	て	助詞-接続助詞		和						948430	28244.297
PB	ハ	は	助詞-係助詞		和						945071	28144.266
PB	ヲ	を	助詞-格助詞		和						936437	27887.145
PB	ダ	だ	助動詞		和						895039	26654.31
PB	タ	た	助動詞		和						804415	23955.522
PB	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	779151	23203.159
PB	ガ	が	助詞-格助詞		和						681193	20285.965
PB	ト	と	助詞-格助詞		和						639943	19057.537
PB		　	空白		記号						606429	18059.489
PB	デ	で	助詞-格助詞		和						349074	10395.443
PB	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	319884	9526.163
PB	モ	も	助詞-係助詞		和						319104	9502.935
PB	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	297657	8864.242
PB		「	補助記号-括弧開		記号						280141	8342.615
PB		」	補助記号-括弧閉		記号						279929	8336.301
PB	ノ	の	助詞-準体助詞		和						258172	7688.377
PB		，	補助記号-読点		記号						247871	7381.612
PB	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	226320	6739.822
PB	レル	れる	助動詞		和						196343	5847.106
PB	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	193169	5752.584
PB	マス	ます	助動詞		和						179599	5348.468
PB	ナイ	ない	助動詞		和						177947	5299.272
PB		）	補助記号-括弧閉		記号						164962	4912.578
PB		（	補助記号-括弧開		記号						160633	4783.66
PB	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	124696	3713.454
PB	カラ	から	助詞-格助詞		和						123382	3674.323
PB	デス	です	助動詞		和						120905	3600.558
PB	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	120226	3580.337
PB		・	補助記号-一般		記号						106744	3178.843
PB	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	100659	2997.631
PB	テキ	的	接尾辞-形状詞的		漢	3.1130	相	関係	類	異同・類似	97457	2902.275
PB	ガ	が	助詞-接続助詞		和						93039	2770.707
PB	コノ	此の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	84727	2523.175
PB	カ	か	助詞-副助詞		和						84031	2502.448
PB	ヨウ	様	形状詞-助動詞語幹		漢	3.1300					79635	2371.535
PB	ナル	成る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	79399	2364.507
PB	ヤ	や	助詞-副助詞		和						78660	2342.5
PB	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	77060	2294.851
PB	ソレ	其れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	76904	2290.206
PB	カ	か	助詞-終助詞		和						68602	2042.972
PB	ト	と	助詞-接続助詞		和						66471	1979.51
PB	バ	ば	助詞-接続助詞		和						66039	1966.645
PB	ズ	ず	助動詞		和						65992	1965.246
PB	ジュウ	十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	65793	1959.32
PB	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	64517	1921.32
PB		．	補助記号-句点		記号						62028	1847.198
PB	クル	来る	動詞-非自立可能		和	2.1527	用	関係	作用	往復	61477	1830.789
PB	サン	三	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	60727	1808.454
PB	ネン	年	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	60044	1788.114
PB	ラレル	られる	助動詞		和						60013	1787.191
PB	ヨル	因る	動詞-一般		和	2.1112	用	関係	類	因果	56353	1678.196
PB	シャ	者	接尾辞-名詞的-一般		漢	1.2000	体	主体	人間	人間	55233	1644.842
PB	コレ	此れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	53936	1606.217
PB	ナド	など	助詞-副助詞		和						51632	1537.604
PB	モノ	物	名詞-普通名詞-サ変可能		和	1.1000	体	関係	事柄	事柄	51251	1526.258
PB	ゴ	五	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	47285	1408.15
PB	デキル	出来る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	47248	1407.048
PB	カラ	から	助詞-接続助詞		和						47020	1400.259
PB			未知語								44921	1337.75
PB	オ	御	接頭辞		和	4.3320	他		挨拶	手紙用語など	44437	1323.337
PB	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	42682	1271.073
PB	ヨン	四	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	42205	1256.868
PB	オモウ	思う	動詞-一般		和	2.3061	用	活動	心	思考・意見・疑い	42193	1256.51
PB	ヨイ	良い	形容詞-非自立可能		和	3.1332	相	関係	様相	良不良・適不適	41624	1239.565
PB	マデ	まで	助詞-副助詞		和						40961	1219.821
PB	ヘ	へ	助詞-格助詞		和						40233	1198.141
PB		？	補助記号-句点		記号						39972	1190.369
PB	ナニ	何	代名詞		和	1.1010	体	関係	事柄	こそあど・他	39362	1172.203
PB	セン	千	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	39113	1164.788
PB		…	補助記号-一般		記号						38942	1159.695
PB	タチ	達	接尾辞-名詞的-一般		和	1.1951	体	関係	量	群・組・対	37456	1115.442
PB	ヒト	人	名詞-普通名詞-一般		和	1.2000	体	主体	人間	人間	37265	1109.754
PB	ミル	見る	動詞-非自立可能		和	2.3091	用	活動	心	見る	37236	1108.891
PB	タメ	為	名詞-普通名詞-副詞可能		和	1.1113	体	関係	類	理由・目的・証拠	36206	1078.217
PB	セル	せる	助動詞		和						35612	1060.528
PB	サン	さん	接尾辞-名詞的-一般		和	1.2000	体	主体	人間	人間	34240	1019.67
