register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
PM		、	補助記号-読点		記号						227045	42580.881
PM	ノ	の	助詞-格助詞		和						208748	39149.392
PM		。	補助記号-句点		記号						184503	34602.393
PM	ニ	に	助詞-格助詞		和						140178	26289.514
PM	ヲ	を	助詞-格助詞		和						134260	25179.63
PM	ハ	は	助詞-係助詞		和						129376	24263.666
PM	ダ	だ	助動詞		和						124866	23417.844
PM	テ	て	助詞-接続助詞		和						124241	23300.629
PM		　	空白		記号						110299	20685.893
PM	タ	た	助動詞		和						107815	20220.034
PM	ガ	が	助詞-格助詞		和						102883	19295.068
PM	スル	為る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	95693	17946.629
PM	ト	と	助詞-格助詞		和						86244	16174.527
PM	デ	で	助詞-格助詞		和						64907	12172.905
PM	モ	も	助詞-係助詞		和						58580	10986.316
PM	イル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	41404	7765.064
PM	ノ	の	助詞-準体助詞		和						40458	7587.647
PM		「	補助記号-括弧開		記号						38492	7218.936
PM		」	補助記号-括弧閉		記号						38489	7218.373
PM		）	補助記号-括弧閉		記号						31284	5867.12
PM		（	補助記号-括弧開		記号						31214	5853.992
PM	アル	有る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	28446	5334.871
PM	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	28398	5325.869
PM	マス	ます	助動詞		和						27530	5163.081
PM		・	補助記号-一般		記号						26847	5034.989
PM	イウ	言う	動詞-一般		和	2.3100	用	活動	言語	言語活動	25656	4811.624
PM	デス	です	助動詞		和						23912	4484.548
PM	コト	事	名詞-普通名詞-一般		和	1.1000	体	関係	事柄	事柄	22650	4247.867
PM	レル	れる	助動詞		和						22568	4232.489
PM	ナイ	ない	助動詞		和						22318	4185.603
PM	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	20421	3829.832
PM	カラ	から	助詞-格助詞		和						18761	3518.51
PM	サン	三	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	17640	3308.273
PM	ナイ	無い	形容詞-非自立可能		和	3.1200	相	関係	存在	存在	15997	3000.139
PM	ゴ	五	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	15857	2973.882
PM	ジュウ	十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	15834	2969.569
PM	レイ	零	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	15569	2919.87
PM		／	補助記号-一般		記号						15093	2830.599
PM	ヤ	や	助詞-副助詞		和						13716	2572.351
PM	ガ	が	助詞-接続助詞		和						12782	2397.185
PM	ヨン	四	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	12638	2370.179
PM	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	12181	2284.471
PM			未知語								12072	2264.029
PM		！	補助記号-句点		記号						11170	2094.865
PM	カ	か	助詞-副助詞		和						10657	1998.655
PM	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	10254	1923.075
PM	サン	さん	接尾辞-名詞的-一般		和	1.2000	体	主体	人間	人間	10213	1915.385
PM	カ	か	助詞-終助詞		和						9851	1847.494
PM	ナド	など	助詞-副助詞		和						9840	1845.431
