register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
PN	ノ	の		助詞-格助詞	和						72172	44932.908
PN		、		補助記号-読点	記号						66770	41569.726
PN		。		補助記号-句点	記号						54459	33905.133
PN	ヲ	を		助詞-格助詞	和						44977	28001.821
PN	ニ	に		助詞-格助詞	和						42414	26406.146
PN	ハ	は		助詞-係助詞	和						39637	24677.239
PN	タ	た		助動詞	和						38911	24225.245
PN	スル	為る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	33649	20949.225
PN	ガ	が		助詞-格助詞	和						31992	19917.608
PN	テ	て		助詞-接続助詞	和						28769	17911.03
PN		　		空白	記号						28103	17496.391
PN	ト	と		助詞-格助詞	和						27086	16863.226
PN	ダ	だ		助動詞	和						24193	15062.1
PN	デ	で		助詞-格助詞	和						23083	14371.035
PN		「		補助記号-括弧開	記号						16514	10281.301
PN		」		補助記号-括弧閉	記号						16507	10276.943
PN		（		補助記号-括弧開	記号						13248	8247.952
PN		）		補助記号-括弧閉	記号						13244	8245.462
PN	モ	も		助詞-係助詞	和						12827	7985.846
PN	イル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	11673	7267.387
PN	イチ	一		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	8778	5465.016
PN		・		補助記号-一般	記号						8005	4983.76
PN	レル	れる		助動詞	和						7806	4859.867
PN	ジュウ	十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	7512	4676.828
PN	ニ	二		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	7458	4643.209
PN	サン	三		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	6742	4197.441
PN	カラ	から		助詞-格助詞	和						6537	4069.812
PN	アル	有る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	6325	3937.825
PN	ナド	など		助詞-副助詞	和						5754	3582.331
PN	ノ	の		助詞-準体助詞	和						5694	3544.976
PN	ナイ	ない		助動詞	和						5598	3485.208
PN	コト	事		名詞-普通名詞-一般	和	1.1000	体	関係	事柄	事柄	5320	3312.131
PN	ゴ	五		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	5197	3235.553
PN	ヤ	や		助詞-副助詞	和						4968	3092.982
PN	ヨン	四		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	4726	2942.318
PN	イウ	言う		動詞-一般	和	2.3100	用	活動	言語	言語活動	4719	2937.96
PN	ネン	年		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	4718	2937.337
PN	ニジュウ	二十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	4470	2782.937
PN	ガ	が		助詞-接続助詞	和						4099	2551.96
PN	ニチ	日		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	3941	2453.592
PN	ロク	六		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	3895	2424.953
PN	ガツ	月		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	3742	2329.698
PN	シャ	者		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	3726	2319.737
PN	ハチ	八		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	3643	2268.063
